Sentences,Label
mở bài hát hà nội mười hai mùa hoa,unknown unknown unknown unknown unknown unknown unknown unknown unknown
mở bài hát năm anh em trên một chiếc xe tăng,unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown
mở bài gọi tên bốn mùa,unknown unknown unknown unknown unknown unknown
mở bài hát bảy sắc cầu vồng,unknown unknown unknown unknown unknown unknown unknown
mở bài hát đợi tháng tám,unknown unknown unknown unknown unknown unknown
mở bài chín bậc tình yêu,unknown unknown unknown unknown unknown unknown
mở bài hát tháng mười một,unknown unknown unknown unknown unknown unknown
mở bài hát tuổi mười ba,unknown unknown unknown unknown unknown unknown
mở bài ba chấm mười bốn,unknown unknown unknown unknown unknown unknown
mở bài hát tuổi nàng mười lăm,unknown unknown unknown unknown unknown unknown unknown
mở bài hát mai em mười bảy,unknown unknown unknown unknown unknown unknown unknown
mở bài mười chín rồi,unknown unknown unknown unknown unknown
mở bài hát hai ba năm,unknown unknown unknown unknown unknown unknown
mở bài hát ba mươi ngày yêu,unknown unknown unknown unknown unknown unknown unknown
mở bài hai mươi bốn mươi,unknown unknown unknown unknown unknown unknown
mở bài hát năm mươi năm quê hương tôi,unknown unknown unknown unknown unknown unknown unknown unknown unknown
mở bài hát một trăm phần trăm yêu em,unknown unknown unknown unknown unknown unknown unknown unknown unknown
mở bài chín chín chín đóa hoa hồng,unknown unknown unknown unknown unknown unknown unknown unknown
mở bài hát một ngàn hạc giấy cho một điều ước,unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown
mở bài hát yêu mãi ngàn năm,unknown unknown unknown unknown unknown unknown unknown
mở bài ngàn nỗi nhớ gửi đến em,unknown unknown unknown unknown unknown unknown unknown unknown
mở bài hát gửi ngàn lơi yêu,unknown unknown unknown unknown unknown unknown unknown
mở bài hát ngàn năm khó phai,unknown unknown unknown unknown unknown unknown unknown
mở bài tình xa vạn dặm,unknown unknown unknown unknown unknown unknown
mở bài hát tám vạn sáu ngàn lần nhớ em,unknown unknown unknown unknown unknown unknown unknown unknown unknown unknown
mở bài hát triệu đóa hoa hồng,unknown unknown unknown unknown unknown unknown unknown
mở bài triệu phú,unknown unknown unknown unknown
mở bài hát tỉ phú không tình,unknown unknown unknown unknown unknown unknown unknown
mở bài hát ba một không bảy,unknown unknown unknown unknown unknown unknown unknown
mở bài một hai ba bốn,unknown unknown unknown unknown unknown unknown
mở bài hát yêu năm,unknown unknown unknown unknown unknown
mở bài hát một lần,unknown unknown unknown unknown unknown
mở bài canh ba,unknown unknown unknown unknown
mở bài hát cao ốc hai mươi,unknown unknown unknown unknown unknown unknown unknown
mở bài hát mười điểm mười,unknown unknown unknown unknown unknown unknown
mở bài ba mươi ngày yêu,unknown unknown unknown unknown unknown unknown
mở bài hát bốn chữ lắm,unknown unknown unknown unknown unknown unknown
mở bài hát một,unknown unknown unknown unknown
mở bài con số ba,unknown unknown unknown unknown unknown
mở bài hát sáu năm,unknown unknown unknown unknown unknown
mở bài hát mười năm tình cũ,unknown unknown unknown unknown unknown unknown unknown
mở bài rồi hai mươi năm sau,unknown unknown unknown unknown unknown unknown unknown
mở bài hát hai mươi năm qua,unknown unknown unknown unknown unknown unknown unknown
mở bài hai mươi năm gặp lại,unknown unknown unknown unknown unknown unknown unknown
mở bài hát hai mùa mưa,unknown unknown unknown unknown unknown unknown
phát bài gọi tên bốn mùa,unknown unknown unknown unknown unknown unknown
phát bài hát bảy sắc cầu vồng,unknown unknown unknown unknown unknown unknown unknown
phát bài hát đợi tháng tám,unknown unknown unknown unknown unknown unknown
phát bài chín bậc tình yêu,unknown unknown unknown unknown unknown unknown
phát bài hát tháng mười một,unknown unknown unknown unknown unknown unknown
phát bài hát tuổi mười ba,unknown unknown unknown unknown unknown unknown
phát bài ba chấm mười bốn,unknown unknown unknown unknown unknown unknown
phát bài hát tuổi nàng mười lăm,unknown unknown unknown unknown unknown unknown unknown
phát bài hát mai em mười bảy,unknown unknown unknown unknown unknown unknown unknown
dừng bài hát một,unknown unknown unknown unknown
dừng bài con số ba,unknown unknown unknown unknown unknown
dừng bài hát sáu năm,unknown unknown unknown unknown unknown
dừng bài hát mười năm tình cũ,unknown unknown unknown unknown unknown unknown unknown
dừng bài rồi hai mươi năm sau,unknown unknown unknown unknown unknown unknown unknown
dừng bài hát hai mươi năm qua,unknown unknown unknown unknown unknown unknown unknown
dừng bài hai mươi năm gặp lại,unknown unknown unknown unknown unknown unknown unknown
lặp hai mùa mưa,unknown unknown unknown unknown
lặp một,unknown unknown
lặp con số ba,unknown unknown unknown unknown
lặp sáu năm,unknown unknown unknown
lặp mười năm tình cũ,unknown unknown unknown unknown unknown
lặp rồi hai mươi năm sau,unknown unknown unknown unknown unknown unknown
lặp hai mươi năm qua,unknown unknown unknown unknown unknown
lặp hai mươi năm gặp lại,unknown unknown unknown unknown unknown unknown
lặp hai mùa mưa,unknown unknown unknown unknown
dừng một,unknown unknown
dừng con số ba,unknown unknown unknown unknown
dừng sáu năm,unknown unknown unknown
dừng mười năm tình cũ,unknown unknown unknown unknown unknown
